iter	Passed	Remaining
413	3483	4931
414	3489	4918
415	3494	4905
416	3499	4891
417	3504	4879
418	3509	4866
419	3514	4853
420	3520	4841
421	3525	4828
422	3531	4816
423	3536	4803
424	3541	4790
425	3546	4778
426	3566	4785
427	3586	4793
428	3603	4795
429	3615	4792
430	3634	4798
431	3653	4803
432	3658	4790
433	3664	4779
434	3670	4767
435	3675	4754
436	3680	4742
437	3686	4730
438	3692	4718
439	3697	4705
440	3702	4693
441	3707	4680
442	3712	4668
443	3718	4656
444	3723	4643
445	3728	4631
446	3734	4619
447	3739	4607
448	3745	4596
449	3750	4583
450	3767	4586
451	3787	4592
452	3811	4601
453	3830	4607
454	3847	4608
455	3859	4603
456	3864	4591
457	3869	4579
458	3875	4567
459	3881	4556
460	3886	4544
461	3892	4532
462	3897	4520
463	3903	4509
464	3908	4496
465	3913	4484
466	3919	4472
467	3924	4461
468	3929	4449
469	3935	4437
470	3940	4425
471	3945	4413
472	3950	4401
473	3965	4400
474	3985	4404
475	4001	4405
476	4021	4409
477	4038	4410
478	4054	4409
479	4062	4401
480	4068	4389
481	4074	4378
482	4078	4365
483	4084	4354
484	4089	4342
485	4093	4329
486	4099	4317
487	4104	4306
488	4109	4294
489	4114	4282
490	4119	4270
491	4124	4259
492	4130	4247
493	4135	4235
494	4141	4224
495	4146	4212
496	4151	4201
497	4156	4189
498	4180	4197
499	4198	4198
500	4218	4201
501	4229	4195
502	4245	4194
503	4261	4194
504	4267	4182
505	4273	4171
506	4278	4160
507	4284	4149
508	4289	4138
509	4294	4126
510	4300	4114
511	4304	4103
512	4310	4092
513	4316	4080
514	4321	4069
515	4326	4058
516	4331	4046
517	4336	4035
518	4341	4023
519	4346	4012
520	4351	4001
521	4357	3990
522	4385	3999
523	4402	3999
524	4426	4004
525	4435	3997
526	4459	4002
527	4465	3991
528	4470	3980
529	4475	3969
530	4481	3957
531	4486	3947
532	4492	3936
533	4498	3925
534	4503	3913
535	4508	3902
536	4513	3891
537	4518	3880
538	4524	3869
539	4529	3858
540	4535	3847
541	4540	3837
542	4546	3826
543	4551	3815
544	4556	3804
545	4579	3808
546	4599	3809
547	4616	3808
548	4634	3806
549	4647	3802
550	4664	3800
551	4669	3789
552	4674	3778
553	4680	3767
554	4685	3756
555	4691	3746
556	4696	3735
557	4701	3724
558	4707	3713
559	4712	3702
560	4717	3691
561	4722	3680
562	4727	3669
563	4732	3658
564	4737	3647
565	4742	3636
566	4747	3625
567	4752	3614
568	4758	3604
569	4780	3606
570	4800	3606
571	4820	3607
572	4829	3598
573	4848	3598
574	4862	3594
575	4868	3583
576	4876	3575
577	4882	3564
578	4888	3554
579	4894	3543
580	4899	3533
581	4904	3522
582	4910	3512
583	4915	3501
584	4921	3491
585	4927	3480
586	4932	3470
587	4937	3459
588	4943	3449
589	4948	3438
590	4954	3428
591	4960	3418
592	4976	3415
593	4995	3414
594	5012	3411
595	5032	3411
596	5043	3404
597	5062	3403
598	5068	3392
599	5074	3382
600	5079	3372
601	5085	3362
602	5090	3351
603	5096	3341
604	5101	3330
605	5106	3320
606	5112	3310
607	5117	3299
608	5122	3288
609	5127	3278
610	5132	3267
611	5138	3257
612	5142	3246
613	5147	3236
614	5153	3226
615	5158	3215
616	5181	3216
617	5204	3217
618	5221	3213
619	5238	3210
620	5252	3205
621	5268	3201
622	5274	3191
623	5280	3181
624	5285	3171
625	5291	3161
626	5296	3150
627	5301	3140
628	5307	3130
629	5312	3120
630	5318	3109
631	5323	3099
632	5329	3089
633	5335	3079
634	5340	3069
635	5345	3059
636	5351	3049
637	5356	3039
638	5361	3029
639	5366	3018
640	5391	3019
641	5411	3017
642	5425	3012
643	5442	3008
644	5459	3004
645	5473	2999
646	5479	2989
647	5484	2979
648	5490	2969
649	5495	2958
650	5500	2948
651	5505	2938
652	5510	2928
653	5515	2918
654	5521	2908
655	5527	2898
656	5532	2888
657	5537	2878
658	5542	2868
659	5548	2858
660	5554	2848
661	5559	2838
662	5564	2828
663	5581	2824
664	5601	2821
665	5618	2817
666	5641	2816
667	5650	2808
668	5672	2806
669	5677	2796
670	5683	2786
671	5688	2776
672	5693	2766
673	5699	2756
674	5704	2746
675	5710	2736
676	5715	2727
677	5721	2717
678	5726	2707
679	5732	2697
680	5737	2687
681	5743	2677
682	5749	2668
683	5754	2658
684	5759	2648
685	5765	2639
686	5780	2633
687	5799	2630
688	5820	2627
689	5839	2623
690	5851	2616
691	5870	2612
692	5876	2603
693	5881	2593
694	5887	2583
695	5893	2574
696	5899	2564
697	5905	2555
698	5911	2545
699	5916	2535
700	5921	2525
701	5926	2515
702	5932	2506
703	5938	2496
704	5943	2486
705	5949	2477
706	5953	2467
707	5958	2457
708	5963	2447
709	5972	2439
710	5997	2437
711	6016	2433
712	6037	2430
713	6045	2421
714	6064	2417
715	6075	2409
716	6081	2400
717	6086	2390
718	6091	2380
719	6096	2370
720	6102	2361
721	6107	2351
722	6113	2342
723	6118	2332
724	6123	2322
725	6129	2313
726	6134	2303
727	6140	2294
728	6144	2284
729	6149	2274
730	6155	2265
731	6160	2255
732	6165	2245
733	6171	2236
734	6178	2227
735	6203	2225
736	6223	2220
737	6243	2216
738	6257	2210
739	6268	2202
740	6284	2196
741	6290	2187
742	6295	2177
743	6300	2168
744	6305	2158
745	6311	2148
746	6316	2139
747	6321	2129
748	6327	2120
749	6332	2110
750	6337	2101
751	6342	2091
752	6347	2082
753	6352	2072
754	6357	2063
755	6362	2053
756	6367	2044
757	6373	2034
758	6378	2025
759	6383	2015
760	6411	2013
761	6431	2008
762	6448	2003
763	6462	1996
764	6479	1990
765	6488	1982
766	6494	1972
767	6499	1963
768	6504	1953
769	6509	1944
770	6515	1935
771	6520	1925
772	6525	1916
773	6530	1906
774	6535	1897
775	6540	1888
776	6545	1878
777	6551	1869
778	6556	1860
779	6561	1850
780	6567	1841
781	6572	1832
782	6577	1822
783	6582	1813
784	6608	1809
785	6624	1803
786	6644	1798
787	6661	1792
788	6672	1784
789	6692	1778
790	6698	1769
791	6704	1760
792	6710	1751
793	6715	1742
794	6720	1733
795	6725	1723
796	6731	1714
797	6737	1705
798	6742	1696
799	6748	1687
800	6753	1677
801	6758	1668
802	6764	1659
803	6770	1650
804	6775	1641
805	6780	1632
806	6786	1622
807	6805	1617
808	6822	1610
809	6842	1605
810	6859	1598
811	6870	1590
812	6890	1584
813	6895	1575
814	6900	1566
815	6906	1557
816	6912	1548
817	6918	1539
818	6923	1530
819	6929	1521
820	6934	1511
821	6940	1502
822	6946	1493
823	6951	1484
824	6957	1475
825	6962	1466
826	6966	1457
827	6972	1448
828	6977	1439
829	6982	1430
830	6990	1421
831	7019	1417
832	7039	1411
833	7059	1405
834	7070	1397
835	7089	1390
836	7095	1381
837	7100	1372
838	7106	1363
839	7111	1354
840	7117	1345
841	7122	1336
842	7128	1327
843	7133	1318
844	7138	1309
845	7144	1300
846	7149	1291
847	7154	1282
848	7159	1273
849	7165	1264
850	7170	1255
851	7175	1246
852	7180	1237
853	7186	1228
854	7191	1219
855	7213	1213
856	7230	1206
857	7250	1199
858	7270	1193
859	7278	1184
860	7300	1178
861	7305	1169
862	7311	1160
863	7316	1151
864	7321	1142
865	7326	1133
866	7331	1124
867	7336	1115
868	7341	1106
869	7346	1097
870	7351	1088
871	7357	1079
872	7362	1071
873	7367	1062
874	7372	1053
875	7378	1044
876	7383	1035
877	7389	1026
878	7394	1017
879	7411	1010
880	7431	1003
881	7448	996
882	7468	989
883	7479	981
884	7501	974
885	7506	965
886	7512	957
887	7518	948
888	7523	939
889	7528	930
890	7533	921
891	7539	912
892	7544	904
893	7550	895
894	7555	886
895	7561	877
896	7566	868
897	7572	860
898	7577	851
899	7582	842
900	7588	833
901	7592	824
902	7598	816
903	7617	808
904	7637	801
905	7657	794
906	7671	786
907	7686	778
908	7705	771
909	7710	762
910	7716	753
911	7722	745
912	7727	736
913	7732	727
914	7738	718
915	7743	710
916	7748	701
917	7753	692
918	7759	683
919	7764	675
920	7770	666
921	7775	657
922	7780	649
923	7786	640
924	7791	631
925	7797	623
926	7802	614
927	7831	607
928	7855	600
929	7872	592
930	7887	584
931	7904	576
932	7909	568
933	7915	559
934	7921	550
935	7926	541
936	7932	533
937	7937	524
938	7943	516
939	7949	507
940	7954	498
941	7959	490
942	7964	481
943	7970	472
944	7975	464
945	7981	455
946	7986	446
947	7991	438
948	7997	429
949	8023	422
950	8043	414
951	8063	406
952	8078	398
953	8096	390
954	8109	382
955	8115	373
956	8120	364
957	8126	356
958	8132	347
959	8137	339
960	8142	330
961	8148	321
962	8153	313
963	8158	304
964	8163	296
965	8169	287
966	8174	278
967	8179	270
968	8185	261
969	8190	253
970	8195	244
971	8200	236
972	8221	228
973	8241	219
974	8261	211
975	8276	203
976	8293	195
977	8307	186
978	8312	178
979	8318	169
980	8323	161
981	8328	152
982	8334	144
983	8340	135
984	8346	127
985	8351	118
986	8357	110
987	8362	101
988	8366	93
989	8372	84
990	8380	76
991	8386	67
992	8391	59
993	8397	50
994	8402	42
995	8422	33
996	8442	25
997	8462	16
998	8477	8
999	8494	0
