iter	MultiClass
0	1.360389635
1	1.33559092
2	1.311255026
3	1.287930911
4	1.264799776
5	1.242951213
6	1.221352501
7	1.20042934
8	1.18032474
9	1.160517226
10	1.141358136
11	1.122785959
12	1.104190819
13	1.086341427
14	1.069044206
15	1.05241861
16	1.036103306
17	1.019957068
18	1.004399766
19	0.9890788712
20	0.9741234733
21	0.9594678972
22	0.9450665152
23	0.9309918439
24	0.9171047991
25	0.9039351852
26	0.8905628941
27	0.8779120789
28	0.865579646
29	0.8532312107
30	0.8409460711
31	0.8290902002
32	0.8175598501
33	0.8063225997
34	0.7953851711
35	0.784710265
36	0.774205496
37	0.763744213
38	0.7534111871
39	0.7436927959
40	0.7339892174
41	0.7245475665
42	0.715049818
43	0.7058385064
44	0.6967518232
45	0.6876527069
46	0.6788766723
47	0.6703661348
48	0.6617769535
49	0.653606571
50	0.6453950819
51	0.63735254
52	0.6293993498
53	0.6216129652
54	0.6140262834
55	0.6065419218
56	0.5990226404
57	0.5917422051
58	0.5846010323
59	0.5775288067
60	0.5704869796
61	0.5637088649
62	0.5569568656
63	0.5504337184
64	0.5439191971
65	0.5375185961
66	0.5311671921
67	0.5250817609
68	0.5189120941
69	0.5127939444
70	0.506876925
71	0.501066747
72	0.4952858373
73	0.4897137915
74	0.4841047439
75	0.4785796346
76	0.4731138055
77	0.4677428009
78	0.4624400594
79	0.4572276214
80	0.4520374915
81	0.4469081291
82	0.4419705872
83	0.437072397
84	0.4321397926
85	0.4274283069
86	0.4226895159
87	0.4180520636
88	0.4135231182
89	0.4090162727
90	0.4044968454
91	0.4001069246
92	0.3957764326
93	0.3914358277
94	0.387185318
95	0.383121959
96	0.3790871247
97	0.3750494052
98	0.3710431253
99	0.3672028778
100	0.3633190847
101	0.3595314844
102	0.3558295772
103	0.3520565219
104	0.3483400698
105	0.3447404233
106	0.3412118655
107	0.3376370852
108	0.3341589736
109	0.3306763112
110	0.3272963853
111	0.3239382619
112	0.3206513462
113	0.3173655311
114	0.3141911378
115	0.310967042
116	0.3077835767
117	0.3046523423
118	0.3015148319
119	0.2985423425
120	0.2955157483
121	0.2925785355
122	0.2896269562
123	0.2867106239
124	0.283839592
125	0.2810851277
126	0.2782810501
127	0.2755185847
128	0.2728358932
129	0.2701684309
130	0.2674676847
131	0.2648236607
132	0.2622806482
133	0.2597715738
134	0.2572664555
135	0.2547171669
136	0.2521588658
137	0.2497503864
138	0.2473091289
139	0.2449581451
140	0.2425043058
141	0.2401908889
142	0.2378424037
143	0.2355680559
144	0.2333016647
145	0.2310474537
146	0.2288979127
147	0.2267556144
148	0.2246358622
149	0.2224703188
150	0.2203341181
151	0.2183233488
152	0.2162052326
153	0.2141418457
154	0.2121833073
155	0.2101452327
156	0.2082272357
157	0.2062297025
158	0.204278154
159	0.2023749249
160	0.2004854972
161	0.1986142432
162	0.1968111927
163	0.195012351
164	0.1931925694
165	0.1914560418
166	0.1896770693
167	0.1878995542
168	0.1861366584
169	0.1843930666
170	0.1827056171
171	0.1810002764
172	0.1793738769
173	0.1777544672
174	0.1761199773
175	0.174522742
176	0.1729289867
177	0.1714150799
178	0.1698545043
179	0.1683254725
180	0.1668211879
181	0.1653163679
182	0.163782235
183	0.1623549285
184	0.1609849837
185	0.1596245719
186	0.15819673
187	0.156803198
188	0.1554642319
189	0.1541754144
190	0.152852763
191	0.1514686748
192	0.1501468859
193	0.1488964832
194	0.1476357443
195	0.1463599846
196	0.1451290792
197	0.1438465825
198	0.1426019799
199	0.141318799
